Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSMUSG00000110078	0.15756650765470173	4.885098887489511	0.9917018563848576	0.009308031949922434	0.03707018084279477	TRUE
ENSMUSG00000117457	0.17835026081488103	4.5756319601421716	0.8372484832966484	0.0013416743356758703	0.006759333394359941	TRUE
ENSMUSG00000071177	0.1679172640891239	4.464779636246606	0.8577797722479539	0.008347638467258322	0.033759792126731976	TRUE
ENSMUSG00000061527	0.796027227733105	4.098458292695952	0.3139359653642784	1.1109055234005892e-79	1.261277695048093e-77	TRUE
ENSMUSG00000107553	0.746409617094596	3.803175471936108	0.2966843848676897	2.048005221803167e-70	1.9185009972165374e-68	TRUE
ENSMUSG00000113057	0.19279241050593449	3.7495755717426427	0.6309892355450915	3.687476477311992e-4	0.0021238906723219067	TRUE
ENSMUSG00000048469	0.1639516882530845	3.7297251080197698	0.7008952309475559	0.008047691213725927	0.032669574858466346	TRUE
ENSMUSG00000109898	1.2960015564169713	3.6047692213706073	0.2118854763277607	4.766170636117249e-110	8.562214388326074e-108	TRUE
ENSMUSG00000111369	0.2839524540898309	3.5054415367758005	0.4503472689332817	1.0317180535072948e-13	1.6314365031059085e-12	TRUE
ENSMUSG00000002588	0.4956885666803563	3.418455310576833	0.3282743175637813	2.1461637397111464e-37	9.051517323619789e-36	TRUE
ENSMUSG00000096069	0.2426137434631217	3.3808594950168285	0.4942585511043711	4.464934012753604e-7	4.01052807018982e-6	TRUE
ENSMUSG00000106588	0.16793184111455645	3.2780655794829334	0.6188278079236916	0.008029450113007066	0.0326001876709473	TRUE
ENSMUSG00000070708	0.3505081452917216	3.276798782416334	0.3763126914628952	9.810506251654594e-21	2.258405591621768e-19	TRUE
ENSMUSG00000114360	0.24259651552812855	3.2414974332187874	0.46443460985049373	4.306531005256113e-8	4.3377067442579664e-7	TRUE
ENSMUSG00000045824	0.24273878371409918	3.2401735839902557	0.4676963494671123	1.0282609326565661e-7	9.964547051049497e-7	TRUE
ENSMUSG00000023943	0.3547249704076266	3.200357509845438	0.36836518481004143	5.487170471491811e-20	1.2082843030475064e-18	TRUE
ENSMUSG00000023120	0.4250581815844138	3.16751305239237	0.33239563144292555	3.131961147969181e-27	9.269821191236415e-26	TRUE
ENSMUSG00000047686	1.3165993745004196	3.144371935095008	0.1846805827330451	7.699627381515821e-95	1.0872946447609208e-92	TRUE
ENSMUSG00000111089	0.19281689304926772	3.140233866496476	0.5480797715978596	0.0011255120043524398	0.0057665221537075186	TRUE
ENSMUSG00000073964	0.561989896195477	3.11581111937432	0.2829123000834023	2.0820595209122012e-41	9.915633798921463e-40	TRUE
ENSMUSG00000101978	0.2696414792653139	3.04693926647618	0.4099229088921491	1.2578306002889007e-10	1.5888857925500737e-9	TRUE
ENSMUSG00000105993	0.5557583897448077	3.0437197227515926	0.27798641784432937	8.385262392209474e-41	3.9145935483630543e-39	TRUE
ENSMUSG00000087216	0.3794684181243772	2.979441578162454	0.33340611972734946	5.519787068336092e-22	1.326618426313731e-20	TRUE
ENSMUSG00000031886	0.25901819335811005	2.9750587034440685	0.42077658199086443	1.9963037854775877e-8	2.0793793264952605e-7	TRUE
ENSMUSG00000014686	0.4268907796356657	2.961947032917873	0.3147980906775005	1.7439271758888417e-25	4.843407921764079e-24	TRUE
ENSMUSG00000105331	0.5950521267653534	2.9550466340360844	0.2622767195022417	3.329431992160449e-43	1.6667124808727016e-41	TRUE
ENSMUSG00000061808	60.969554373266014	2.935257701148027	0.11289740367684326	2.8872622505772815e-150	7.880004973113996e-148	TRUE
ENSMUSG00000045337	0.8109533301598552	2.909747832949238	0.22162750974588938	1.8505470332093165e-59	1.404436550551156e-57	TRUE
ENSMUSG00000000215	0.4541517256310914	2.874774909124407	0.2980127706838227	2.0008915102085503e-27	5.99085491832906e-26	TRUE
ENSMUSG00000099468	0.7235668806124035	2.7888214102823095	0.2276046944229023	1.2198250691770007e-50	7.526851035547823e-49	TRUE
ENSMUSG00000023902	0.47481487090135693	2.7786833386752807	0.2829226696988155	4.400647265195819e-29	1.401885207354861e-27	TRUE
ENSMUSG00000011034	0.6822690695554737	2.724608875178915	0.23076915475697685	2.4067639873975197e-46	1.3264774566658487e-44	TRUE
ENSMUSG00000116878	0.2964591164132786	2.719199924897866	0.35824989577893324	7.023899000439307e-12	9.806510045669911e-11	TRUE
ENSMUSG00000074595	0.23642205717153764	2.700118270635555	0.42103365346633653	4.4486604473636e-6	3.508496197220573e-5	TRUE
ENSMUSG00000079042	0.40019973112537943	2.6594377550671884	0.3001147308237816	3.487080594939765e-21	8.159711097013215e-20	TRUE
ENSMUSG00000099553	0.636615356684999	2.64444618516779	0.23436571930612524	1.8249759328034194e-41	8.720558396749538e-40	TRUE
ENSMUSG00000093499	0.2591796780016394	2.628963429468975	0.44376916467637945	1.0036603034805761e-4	6.458375437314141e-4	TRUE
ENSMUSG00000115130	0.18676817634887802	2.617581554369496	0.5088726979292364	0.005563269677400248	0.02365306269073227	TRUE
ENSMUSG00000100166	0.9600337049496159	2.5442357013183927	0.1858283158790147	5.8418737023560706e-58	4.273601628032853e-56	TRUE
