Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSMUSG00000109898	1.2960015564169713	3.6039235423414695	0.2122936956606776	3.769039463959229e-109	4.5031724966561933e-107	TRUE
ENSMUSG00000047686	1.3165993745004196	3.142033856862787	0.18502295159745544	4.416024062488087e-94	4.1325718775904524e-92	TRUE
ENSMUSG00000061808	60.969554373266014	2.9352581807309774	0.11279399076413064	1.5377539389377703e-150	2.8361855900971672e-148	TRUE
ENSMUSG00000028749	1.1630459509829498	2.4539358757732996	0.16567817775988558	2.509362984469007e-61	1.3278654210573183e-59	TRUE
ENSMUSG00000009075	14.780412080391834	2.353739446221216	0.045089680881182176	0	0	TRUE
ENSMUSG00000032988	1.2731821261375023	2.3302096412993962	0.1543498379709323	2.8912718510451083e-58	1.4607843445293596e-56	TRUE
ENSMUSG00000026841	9.294583210550883	2.2076137978874586	0.05528433919794678	0	0	TRUE
ENSMUSG00000054889	4.185605014000441	2.162463541811876	0.08165373721752432	1.950253220620929e-155	4.071314333201735e-153	TRUE
ENSMUSG00000058488	8.594018651455627	2.093134295970779	0.0688813395455581	5.956861961311588e-204	1.8551230603120694e-201	TRUE
ENSMUSG00000042372	1.0616964536559945	2.0889224499573333	0.16050421552473443	6.070485359157901e-45	2.2049906380099936e-43	TRUE
ENSMUSG00000034796	20.455311049975013	2.0745603092314018	0.036082246675888226	0	0	TRUE
ENSMUSG00000112663	1.1980585345826393	2.062116955988098	0.15002619019635224	4.637735550522877e-46	1.734312249080376e-44	TRUE
ENSMUSG00000097789	9.612084347031223	2.020538620547393	0.05228221125514606	0	0	TRUE
ENSMUSG00000053930	10.05035727972362	1.903248141239303	0.050013687343975516	0	0	TRUE
ENSMUSG00000032057	1.0572424724240082	1.8448214580462463	0.1534147356926071	4.597434606648101e-36	1.3232949276135452e-34	TRUE
ENSMUSG00000019762	1.4508913580229519	1.7962214820276865	0.1295239655395207	1.0013933011271163e-44	3.589333687077703e-43	TRUE
ENSMUSG00000022708	27.54535795489803	1.7214478792143884	0.02969071569109203	0	0	TRUE
ENSMUSG00000037086	1.7475656595966977	1.719010550892606	0.11648647257096256	2.6278097747966787e-50	1.0947478572765901e-48	TRUE
ENSMUSG00000034739	3.305858077427511	1.7155406313379145	0.08509249818627279	2.080506258661499e-91	1.8731458481418245e-89	TRUE
ENSMUSG00000068323	2.719548673787298	1.704334798355689	0.09320423005442613	9.933716512491647e-76	7.094391450669315e-74	TRUE
ENSMUSG00000026579	4.228322981925892	1.6617556548450567	0.07502942629106885	9.519653759520633e-110	1.1518781049019967e-107	TRUE
ENSMUSG00000036907	4.917630988234614	1.6515993727881584	0.06835259586922231	3.2662843607390647e-130	5.170800333413334e-128	TRUE
ENSMUSG00000039672	2.337964975678471	1.6251950745094421	0.09917617156419828	2.1872211445379188e-61	1.163883475708315e-59	TRUE
ENSMUSG00000025020	16.817264058638973	1.6199498124036273	0.03681557399563323	0	0	TRUE
ENSMUSG00000047230	2.566182940677711	1.615605582422858	0.09446936420711714	1.2963873061404515e-66	7.768917872160933e-65	TRUE
ENSMUSG00000073975	1.2850549504451994	1.6071954737114795	0.13347064076292112	1.747335044454635e-34	4.8387935626100144e-33	TRUE
ENSMUSG00000026686	1.1585865292551578	1.5950169223778572	0.14043245374186766	5.760010893943627e-31	1.4042164142134978e-29	TRUE
ENSMUSG00000015652	1.606536028460073	1.5929916811755083	0.11905926247940597	7.190717816011995e-42	2.3965274798382434e-40	TRUE
ENSMUSG00000031618	13.99531094704017	1.580907138354175	0.039822371025476797	0	0	TRUE
ENSMUSG00000022425	58.05530493187683	1.5722363465690472	0.05400948427019898	1.6185534871411624e-187	4.39252294217438e-185	TRUE
ENSMUSG00000050505	9.370776578403003	1.5586943663491315	0.04851000301641795	1.4821620698613514e-227	5.990772944926828e-225	TRUE
ENSMUSG00000020686	1.0404382570487836	1.551262463389911	0.14730650399265804	5.46808115608395e-27	1.1632378244359102e-25	TRUE
ENSMUSG00000035168	10.666952721684755	1.5322270508787847	0.04527137621486408	3.3880244316124625e-252	1.7395216250632957e-249	TRUE
ENSMUSG00000086040	27.191077568725603	1.5253710788480037	0.028307783752353283	0	0	TRUE
ENSMUSG00000115625	1.5670498448296195	1.514171151675328	0.1191080366881256	4.1541049849522295e-38	1.2748874377889741e-36	TRUE
ENSMUSG00000052387	16.157908807832584	1.5038084041823578	0.05058677653463416	2.152271071362172e-195	6.194953567070784e-193	TRUE
ENSMUSG00000010175	7.618527904720815	1.502650622826331	0.05333787243586846	1.0634258610713952e-175	2.5572026687054802e-173	TRUE
ENSMUSG00000026354	3.7695453015725082	1.4857959769236972	0.07605118205553621	4.607643864753716e-86	3.7247408722862274e-84	TRUE
ENSMUSG00000040836	7.305567465793308	1.4728053127001015	0.054222681047506195	1.4798997182110212e-163	3.2314545915925024e-161	TRUE
ENSMUSG00000115190	1.1443009495299348	1.4632825079568839	0.13853906930184173	3.642513724665982e-27	7.810026323643303e-26	TRUE
ENSMUSG00000086902	1.193828066130023	1.4591798494126265	0.13538578593664455	3.626451573164813e-28	8.066943856605616e-27	TRUE
ENSMUSG00000063975	1.131750714475364	1.4542097568258694	0.13921094449282587	1.2297903915691523e-26	2.5786234071345677e-25	TRUE
ENSMUSG00000022949	5.800406066072392	1.44674479585542	0.06624648828987471	7.61119427168903e-107	8.763021671471304e-105	TRUE
ENSMUSG00000049382	1.6558149196926804	1.4396864304197916	0.11442219648967104	2.2420386905139272e-37	6.665416119513783e-36	TRUE
ENSMUSG00000053161	1.2186001861716949	1.4266079676689625	0.13335492028232615	8.476112999826212e-28	1.8636657252048444e-26	TRUE
ENSMUSG00000109228	1.0799714205437787	1.4260564075328166	0.14204201430798666	8.4013287836924e-25	1.6369235169620975e-23	TRUE
ENSMUSG00000085957	1.8006370744420663	1.4220172413520773	0.10936277163302813	9.685410541122934e-40	3.092331832768275e-38	TRUE
ENSMUSG00000097683	2.178292257709193	1.4096474291266463	0.09913701781855808	5.781221446998486e-47	2.2277051486537573e-45	TRUE
ENSMUSG00000021676	7.838597863481414	1.34398585208707	0.05164320402515175	2.188366855020366e-150	3.9973466485405665e-148	TRUE
ENSMUSG00000022212	31.606102352410304	1.3431826114533774	0.02555242700604983	0	0	TRUE
ENSMUSG00000005268	4.725788265339732	1.327994224769905	0.06723714633063053	6.408746256650687e-88	5.316460813868694e-86	TRUE
ENSMUSG00000020169	1.348851436801877	1.3186405941047772	0.12482217978275745	3.459549118682305e-27	7.426107865266412e-26	TRUE
