Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSMUSG00000109898	1.2960015564169713	3.604505916931948	0.21228322300052624	3.7690394636646957e-109	4.503172496304291e-107	TRUE
ENSMUSG00000047686	1.3165993745004196	3.143617960525334	0.18512044978653494	4.4160240628828643e-94	4.13257187795989e-92	TRUE
ENSMUSG00000061808	60.969554373266014	2.9352581807913	0.11279399076073696	1.5377539389527832e-150	2.8361855901248566e-148	TRUE
ENSMUSG00000028749	1.1630459509829498	2.4526303583997073	0.1656554115124831	2.509362984160616e-61	1.3278654208941289e-59	TRUE
ENSMUSG00000009075	14.780412080391834	2.3537394462439476	0.045089680880709394	0	0	TRUE
ENSMUSG00000032988	1.2731821261375023	2.330331344619739	0.154350557979845	2.8912718509088787e-58	1.460784344460531e-56	TRUE
ENSMUSG00000026841	9.294583210550883	2.2084608503021417	0.0553095013132775	0	0	TRUE
ENSMUSG00000054889	4.185605014000441	2.1617722538835076	0.0816433101958965	1.950253220623325e-155	4.0713143332067365e-153	TRUE
ENSMUSG00000058488	8.594018651455627	2.0931342960272277	0.06888133954291867	5.9568619612715626e-204	1.8551230602996045e-201	TRUE
ENSMUSG00000042372	1.0616964536559945	2.0890492832167897	0.16048459327435366	6.070485359070549e-45	2.2007826405775423e-43	TRUE
ENSMUSG00000034796	20.455311049975013	2.0745603092484948	0.036082246675568176	0	0	TRUE
ENSMUSG00000112663	1.1980585345826393	2.0643122852875653	0.15003559594249302	4.6377355508184556e-46	1.7343122491909096e-44	TRUE
ENSMUSG00000097789	9.612084347031223	2.019691029985104	0.05227278212932881	0	0	TRUE
ENSMUSG00000053930	10.05035727972362	1.9031878855906394	0.0500133156496813	0	0	TRUE
ENSMUSG00000032057	1.0572424724240082	1.845211567070331	0.1534027314791654	4.5974346067185804e-36	1.3232949276338315e-34	TRUE
ENSMUSG00000019762	1.4508913580229519	1.795973591778601	0.12951266899254	1.0013933012492051e-44	3.5825741137158473e-43	TRUE
ENSMUSG00000022708	27.54535795489803	1.7210722178754856	0.029686231533757414	0	0	TRUE
ENSMUSG00000037086	1.7475656595966977	1.7188229604880279	0.11648348636321972	2.6278097746964643e-50	1.0947478572348406e-48	TRUE
ENSMUSG00000034739	3.305858077427511	1.7155406315067874	0.08509249817648007	2.0805062582726928e-91	1.87314584779177e-89	TRUE
ENSMUSG00000068323	2.719548673787298	1.7043347985515664	0.09320423004106364	9.933716513689664e-76	7.094391451524907e-74	TRUE
ENSMUSG00000026579	4.228322981925892	1.661869913674319	0.07502847339702735	9.519653761596408e-110	1.1518781051531654e-107	TRUE
ENSMUSG00000036907	4.917630988234614	1.6540972926207869	0.06840173075630868	3.266284360738782e-130	5.170800333412887e-128	TRUE
ENSMUSG00000039672	2.337964975678471	1.6251950747752693	0.09917617154454034	2.1872211434859026e-61	1.1638834751485067e-59	TRUE
ENSMUSG00000025020	16.817264058638973	1.6188367073012873	0.036808923592256314	0	0	TRUE
ENSMUSG00000047230	2.566182940677711	1.615605582666139	0.0944693641897689	1.2963873059211872e-66	7.768917870846939e-65	TRUE
ENSMUSG00000073975	1.2850549504451994	1.6080427008982967	0.1334383149234297	1.7473350438817625e-34	4.838793561023592e-33	TRUE
ENSMUSG00000026686	1.1585865292551578	1.5958871690685599	0.14043406437450967	5.760010894285566e-31	1.4042164142139916e-29	TRUE
ENSMUSG00000015652	1.606536028460073	1.5927936042765003	0.11905431417407429	7.190717815735347e-42	2.396527479746042e-40	TRUE
ENSMUSG00000031618	13.99531094704017	1.5809071383914384	0.03982237102424982	0	0	TRUE
ENSMUSG00000022425	58.05530493187683	1.57225186544265	0.05400953783258415	1.618553487154109e-187	4.392522942209516e-185	TRUE
ENSMUSG00000050505	9.370776578403003	1.5586943664214123	0.04851000301372019	1.4821620698620303e-227	5.990772944929572e-225	TRUE
ENSMUSG00000020686	1.0404382570487836	1.5511580127302766	0.14730971761564146	5.468081156365097e-27	1.1632378244957195e-25	TRUE
ENSMUSG00000035168	10.666952721684755	1.532227050615606	0.045271376220295693	3.3880244316100115e-252	1.7395216250620374e-249	TRUE
ENSMUSG00000086040	27.191077568725603	1.525371003121232	0.028307786456005145	0	0	TRUE
ENSMUSG00000115625	1.5670498448296195	1.514184156792088	0.11907982490736035	4.154104984626694e-38	1.2748874376890678e-36	TRUE
ENSMUSG00000052387	16.157908807832584	1.5038084042703614	0.05058677653060436	2.1522710713509867e-195	6.19495356703859e-193	TRUE
ENSMUSG00000010175	7.618527904720815	1.5026506229202141	0.05333787243176891	1.06342586107054e-175	2.557202668703424e-173	TRUE
ENSMUSG00000026354	3.7695453015725082	1.4859917152562478	0.07606160592042835	4.607643864756943e-86	3.7247408722888357e-84	TRUE
ENSMUSG00000040836	7.305567465793308	1.4728053128030167	0.0542226810428262	1.4798997182117384e-163	3.2314545915940683e-161	TRUE
ENSMUSG00000115190	1.1443009495299348	1.4637623306494347	0.1385372452781876	3.6425137245218694e-27	7.810026323334305e-26	TRUE
ENSMUSG00000086902	1.193828066130023	1.4602742626254128	0.13549500675429782	3.626451573163312e-28	8.076401000631118e-27	TRUE
ENSMUSG00000063975	1.131750714475364	1.4546427127260448	0.13919278229190277	1.2297903916120842e-26	2.5786234072245876e-25	TRUE
ENSMUSG00000022949	5.800406066072392	1.446579161346969	0.06624449837117977	7.611194271406442e-107	8.76302167114595e-105	TRUE
ENSMUSG00000049382	1.6558149196926804	1.4395410332563876	0.1144191407338444	2.242038690515002e-37	6.665416119516979e-36	TRUE
ENSMUSG00000053161	1.2186001861716949	1.4281923888475268	0.1334695891367189	8.476112999825382e-28	1.863665725204662e-26	TRUE
ENSMUSG00000109228	1.0799714205437787	1.4266834041168919	0.1420393010256063	8.401328783251437e-25	1.63692351687618e-23	TRUE
ENSMUSG00000085957	1.8006370744420663	1.4220827162627636	0.1093611874726622	9.685410541122934e-40	3.092331832768275e-38	TRUE
ENSMUSG00000097683	2.178292257709193	1.409647429522279	0.09913701778335571	5.781221447000268e-47	2.227705148654444e-45	TRUE
ENSMUSG00000021676	7.838597863481414	1.3439857903907455	0.05164320280411908	2.1883668550217898e-150	3.997346648543168e-148	TRUE
ENSMUSG00000022212	31.606102352410304	1.3431809482201933	0.02555242494574172	0	0	TRUE
ENSMUSG00000005268	4.725788265339732	1.3279943892380475	0.06723714399747295	6.408746256648872e-88	5.316460813867188e-86	TRUE
ENSMUSG00000020169	1.348851436801877	1.319606823242656	0.12489695735735146	3.459549118682706e-27	7.426107865267273e-26	TRUE
ENSMUSG00000001741	3.9142386346463995	1.3156860919645896	0.07286466577323455	5.353153582451583e-74	3.6580524678357095e-72	TRUE
ENSMUSG00000047671	1.1188895696343426	1.3139271929776681	0.13733517976044843	8.772286487698143e-23	1.5840981597604717e-21	TRUE
ENSMUSG00000055078	13.386343053570425	1.3082294597076454	0.03909139156138484	1.284816307021203e-246	6.258373175508152e-244	TRUE
ENSMUSG00000028004	5.336027640292428	1.305768580289233	0.06197379765870507	1.314965622838162e-99	1.343032362207342e-97	TRUE
ENSMUSG00000043013	1.0258257422165429	1.3052769379677973	0.14365161821738223	8.102101860702523e-21	1.3693561303182014e-19	TRUE
ENSMUSG00000032289	5.628125347255548	1.2998168792763907	0.06059277037911521	3.582818942549663e-103	3.889303511520911e-101	TRUE
ENSMUSG00000039037	16.045802530724384	1.297529700545311	0.03564975796381016	4.665581838794898e-291	2.7697518184870837e-288	TRUE
ENSMUSG00000025461	1.13966848128823	1.288865517624916	0.13575321312989333	1.7583318253587978e-22	3.154204880674323e-21	TRUE
ENSMUSG00000030905	14.523167541260898	1.2784020275116872	0.03737727713754386	1.8373842972071386e-257	9.69577485945667e-255	TRUE
ENSMUSG00000021553	1.1565621998242899	1.2696963025333639	0.13440275664890572	2.760461634368154e-22	4.91015820862283e-21	TRUE
ENSMUSG00000017723	1.3845707300073389	1.2689836681711966	0.12268508134576321	3.526643105265622e-26	7.258465771476817e-25	TRUE
ENSMUSG00000026051	3.6575879527369795	1.2639244595966	0.07520432985722296	1.7644211214251746e-64	1.0035541330453305e-62	TRUE
ENSMUSG00000063354	1.5996184863396439	1.2610408325397506	0.11373052019713986	1.126251624226443e-29	2.6284277770798207e-28	TRUE
ENSMUSG00000057378	12.010703661726469	1.2581684093491925	0.041342627112706164	1.527509710027499e-204	4.836350326898733e-202	TRUE
ENSMUSG00000026065	3.008683946911044	1.2500564924901192	0.08246926292715179	5.169720445434952e-53	2.343894494079422e-51	TRUE
ENSMUSG00000022861	12.165077415242168	1.2382634420121965	0.04063410034292521	4.1784801309834726e-205	1.3685963284188453e-202	TRUE
ENSMUSG00000025488	1.1563031863261268	1.2301710772053598	0.1338574485700262	2.415845700833867e-21	4.1495317159801964e-20	TRUE
ENSMUSG00000023043	1.8256721528096018	1.2284785803969478	0.1059893932388891	3.6007163198970953e-32	9.24362269311961e-31	TRUE
ENSMUSG00000030583	11.974499187296663	1.2233286446742246	0.041135263866880996	1.832087521266097e-195	5.35448717561416e-193	TRUE
ENSMUSG00000038756	1.3657304908046182	1.2092291367577215	0.12248790758483898	4.264297565357775e-24	8.04457406644505e-23	TRUE
ENSMUSG00000037984	13.243307845298208	1.2005401745794981	0.03875799922875246	8.300855505199646e-212	2.8671154914959577e-209	TRUE
ENSMUSG00000025885	10.13392450589434	1.1960326988542564	0.044289581014552215	1.0583742721035375e-161	2.2847654599035117e-159	TRUE
ENSMUSG00000032373	5.990675387782898	1.1950054541069945	0.05802430577297933	1.4925166501853742e-96	1.4767363960193518e-94	TRUE
ENSMUSG00000050074	2.5405979518393336	1.188078140505667	0.08914416571222888	1.2803487042906486e-41	4.2522350236729805e-40	TRUE
ENSMUSG00000003573	4.91084099309206	1.1827154563169526	0.06360494136993554	2.935423118055969e-78	2.2128663878456046e-76	TRUE
ENSMUSG00000046886	1.20597735617047	1.1807194641278647	0.13009305851880404	8.699296636042596e-21	1.467677959102142e-19	TRUE
ENSMUSG00000021848	2.6275281625450813	1.179593466087031	0.08761801995002505	2.0234843021771852e-42	6.852073313450978e-41	TRUE
ENSMUSG00000034040	13.869378069716321	1.1715710458241795	0.037732415427650594	9.400806175077432e-213	3.307168794591592e-210	TRUE
ENSMUSG00000020932	25.413101757541092	1.1714401821006235	0.029262693581758266	0	0	TRUE
ENSMUSG00000053117	1.4319557645516208	1.1620380231893355	0.11897197625943151	1.1927380120300192e-23	2.225780355062306e-22	TRUE
ENSMUSG00000046415	1.4403109454339411	1.1553055330874182	0.11844865833687217	1.363479275430992e-23	2.531966353407874e-22	TRUE
ENSMUSG00000025810	6.885942457614772	1.1518267280359629	0.05347750656058142	5.44984658452995e-104	6.126079027592631e-102	TRUE
ENSMUSG00000035954	23.53636131495656	1.1504885450230484	0.028884375411061064	0	0	TRUE
ENSMUSG00000048070	1.523058256525945	1.1464668793773787	0.11500587785529791	1.593749131635622e-24	3.0675230246891497e-23	TRUE
ENSMUSG00000048108	5.897834201472833	1.1339448822154263	0.05856896174751805	1.299352953274954e-84	1.0327953160403471e-82	TRUE
ENSMUSG00000027570	5.694303139594432	1.1311339841973442	0.05946115475982831	3.1840737307789335e-81	2.458855636732008e-79	TRUE
ENSMUSG00000025558	23.677687447710877	1.1279515097415709	0.028720046803624038	0	0	TRUE
ENSMUSG00000019230	2.882645448629182	1.1257385596623894	0.08304498358527933	5.749246160295015e-43	1.9714517925473717e-41	TRUE
ENSMUSG00000018334	11.476394149134451	1.1239635822693124	0.041254110314364247	9.741927669323549e-165	2.1519465108620866e-162	TRUE
ENSMUSG00000039239	5.377065308518468	1.1224689256413498	0.060648758354721465	1.4206785552486223e-77	1.058377667217964e-75	TRUE
ENSMUSG00000100916	1.0738875243309522	1.1204093521961953	0.1375875967257	2.8692705973593015e-17	4.151373460627163e-16	TRUE
ENSMUSG00000001827	3.0833388361525715	1.1125665694831406	0.0803151716039887	9.519397077774943e-45	3.4185252606141885e-43	TRUE
ENSMUSG00000100546	1.2555962073968825	1.1113939678084104	0.12654394737005914	1.2174944084196063e-19	1.9485038986307717e-18	TRUE
ENSMUSG00000048442	1.2576721525679344	1.104089070331199	0.12634675520554878	1.7988555406841819e-19	2.850113319964754e-18	TRUE
ENSMUSG00000059901	1.4544429345943752	1.1011408732640646	0.11714497876509904	4.1495919769562398e-22	7.299055443170156e-21	TRUE
ENSMUSG00000031893	1.2969138754266043	1.0970774891032626	0.1243627231844722	8.59764931125796e-20	1.3853226799488336e-18	TRUE
ENSMUSG00000036169	3.062146076334825	1.0929803560388776	0.08033056189477902	2.7490607187619688e-43	9.512551270368146e-42	TRUE
ENSMUSG00000070473	1.009142836910774	1.0898681991827994	0.1414147945216057	9.695848581133898e-16	1.2800002466699143e-14	TRUE
ENSMUSG00000036687	1.1461341768876945	1.0786447344574288	0.1326184547233022	2.7855872075425935e-17	4.036445475338417e-16	TRUE
ENSMUSG00000102260	1.166618297703054	1.0725789092811895	0.13093964271718367	1.9836134761160625e-17	2.8919957947641475e-16	TRUE
ENSMUSG00000030450	1.661838940202117	1.071639239503065	0.10931410667876525	8.27623236357903e-24	1.5490008493685796e-22	TRUE
ENSMUSG00000038793	2.2354941934141506	1.070733794288586	0.09388178614018851	3.09628664163861e-31	7.638981471585541e-30	TRUE
ENSMUSG00000048583	13.22166163814565	1.0695445714467984	0.04825077046495466	4.99700395744539e-110	6.085133601255773e-108	TRUE
ENSMUSG00000020848	8.355619796439457	1.068879777124626	0.048070473386356775	1.2380392457285482e-110	1.5371916046474007e-108	TRUE
ENSMUSG00000007888	2.726695853601215	1.0673091478845982	0.08489361277852114	2.4460412894329113e-37	7.260538496149534e-36	TRUE
ENSMUSG00000046242	1.2244711678226339	1.0667400204884738	0.12760541548858334	4.7655880896905506e-18	7.100539367831481e-17	TRUE
ENSMUSG00000043020	1.5727327035679226	1.0581589736290127	0.11219055062555378	3.048365749187189e-22	5.407077883969097e-21	TRUE
ENSMUSG00000050122	2.68305417600605	1.0467301585222684	0.08539458022261273	1.275862938101968e-35	3.639274509778241e-34	TRUE
ENSMUSG00000000739	1.8069004121702492	1.0396165461026128	0.10431351201405835	1.6387093557653015e-24	3.1476806503006507e-23	TRUE
ENSMUSG00000044772	1.2183730641741939	1.0330066537906422	0.12754302778056545	4.177632781544267e-17	5.994145766691574e-16	TRUE
